Attribute,Type,Use,Links,Description
actual_range,N,"C, D","Section 2.5.1, ""Missing data, valid and actual range of data""",The smallest and the largest valid non-missing values occurring in the variable.
add_offset,N,"C, D","NUG Appendix A, ""Attribute Conventions"", and Section 8.1, ""Packed Data""","If present for a variable, this number is to be added to the data after it is read by an application. If both scale_factor and add_offset attributes are present, the data are first scaled before the offset is added. In cases where there is a strong constraint on dataset size, it is allowed to pack the coordinate variables (using add_offset and/or scale_factor), but this is not recommended in general."
ancillary_variables,S,D,"Section 3.4, ""Ancillary Data""","Identifies a variable that contains closely associated data, e.g., the measurement uncertainties of instrument data."
axis,S,C,"Chapter 4, Coordinate Types","Identifies latitude, longitude, vertical, or time axes."
bounds,S,C,"Section 7.1, ""Cell Boundaries""",Identifies a boundary variable.
calendar,S,C,"Section 4.4.1, ""Calendar""",Calendar used for encoding time axes.
cell_measures,S,"D, Do","Section 7.2, ""Cell Measures""",Identifies variables that contain cell areas or volumes.
cell_methods,S,D,"Section 7.3, ""Cell Methods"", Section 7.4, ""Climatological Statistics""",Records the method used to derive data that represents cell values.
cf_role,S,C,"Section 9.5, ""Coordinates and metadata""",Identifies the roles of variables that identify features in discrete sampling geometries
climatology,S,C,"Section 7.4, ""Climatological Statistics""",Identifies a climatology variable.
comment,S,"G, C, D","Section 2.6.2, ""Description of file contents""",Miscellaneous information about the data or methods used to produce it.
compress,S,C,"Section 8.2, ""Lossless Compression by Gathering"", Section 5.3, ""Reduced Horizontal Grid""",Records dimensions which have been compressed by gathering.
computed_standard_name,S,C,"Section 4.3.3, ""Parametric Vertical Coordinate""","Indicates the standard name, from the standard name table, of the computed vertical coordinate values, computed according to the formula in the definition."
Conventions,S,G,"NUG Appendix A, ""Attribute Conventions""",Name of the conventions followed by the dataset.
coordinate_interpolation,S,"D, Do","Section 8.3, ""Lossy Compression by Coordinate Subsampling""",Indicates that coordinates have been compressed by sampling and identifies the tie point coordinate variables and their associated interpolation variables.
coordinates,S,"D, M, Do","Chapter 5, Coordinate Systems and Domain, Section 6.1, ""Labels"", Section 6.2, ""Alternative Coordinates""","Identifies auxiliary coordinate variables, label variables, and alternate coordinate variables."
dimensions,S,Do,"Section 5.8, ""Domain Variables""",Identifies the dimensions that define a domain variable.
external_variables,S,G,"Section 2.6.3, ""External variables"", Section 7.2, ""Cell Measures""",Identifies variables which are named by cell_measures attributes in the file but which are not present in the file.
_FillValue,D,"C, D","NUG Appendix A, ""Attribute Conventions"", and Section 2.5.1, ""Missing data, valid and actual range of data"", and Section 9.6, ""Missing Data""",A value used to represent missing or undefined data. Allowed for auxiliary coordinate variables but not allowed for coordinate variables.
